Ring Size: 80
Starting Seed size: 20
Maximum travel distance: 4
Generations: 1300
Mutation rate: 100
Number of States in a SEM: 6
Average SEM Fitness:
0.9723333333333333
Sequence Name	Group	Confidence
>Sequence0 	 1 	 1.0
>Sequence1 	 1 	 1.0
>Sequence2 	 1 	 1.0
>Sequence3 	 1 	 1.0
>Sequence4 	 1 	 1.0
>Sequence5 	 1 	 1.0
>Sequence6 	 1 	 1.0
>Sequence7 	 1 	 1.0
>Sequence8 	 1 	 1.0
>Sequence9 	 1 	 1.0
>Sequence10 	 1 	 1.0
>Sequence11 	 1 	 1.0
>Sequence12 	 1 	 1.0
>Sequence13 	 1 	 1.0
>Sequence14 	 1 	 1.0
>Sequence15 	 1 	 1.0
>Sequence16 	 1 	 1.0
>Sequence17 	 1 	 1.0
>Sequence18 	 1 	 1.0
>Sequence19 	 1 	 1.0
>Sequence20 	 1 	 0.97
>Sequence21 	 1 	 1.0
>Sequence22 	 1 	 1.0
>Sequence23 	 1 	 1.0
>Sequence24 	 1 	 1.0
>Sequence25 	 1 	 1.0
>Sequence26 	 1 	 1.0
>Sequence27 	 1 	 1.0
>Sequence28 	 1 	 1.0
>Sequence29 	 1 	 1.0
>Sequence30 	 1 	 1.0
>Sequence31 	 1 	 1.0
>Sequence32 	 1 	 1.0
>Sequence33 	 1 	 0.99
>Sequence34 	 1 	 1.0
>Sequence35 	 1 	 1.0
>Sequence36 	 1 	 1.0
>Sequence37 	 1 	 1.0
>Sequence38 	 1 	 1.0
>Sequence39 	 1 	 1.0
>Sequence40 	 1 	 1.0
>Sequence41 	 1 	 1.0
>Sequence42 	 1 	 1.0
>Sequence43 	 1 	 1.0
>Sequence44 	 1 	 1.0
>Sequence45 	 1 	 1.0
>Sequence46 	 1 	 1.0
>Sequence47 	 1 	 0.99
>Sequence48 	 1 	 1.0
>Sequence49 	 1 	 1.0
>Sequence50 	 2 	 0.96
>Sequence51 	 2 	 0.9
>Sequence52 	 2 	 0.94
>Sequence53 	 2 	 0.94
>Sequence54 	 2 	 0.95
>Sequence55 	 2 	 0.94
>Sequence56 	 2 	 0.94
>Sequence57 	 2 	 0.94
>Sequence58 	 2 	 0.9
>Sequence59 	 2 	 0.94
>Sequence60 	 2 	 0.88
>Sequence61 	 2 	 0.94
>Sequence62 	 2 	 0.93
>Sequence63 	 2 	 0.91
>Sequence64 	 2 	 0.96
>Sequence65 	 2 	 0.93
>Sequence66 	 2 	 0.93
>Sequence67 	 2 	 0.94
>Sequence68 	 2 	 0.93
>Sequence69 	 2 	 0.93
>Sequence70 	 2 	 0.93
>Sequence71 	 2 	 0.95
>Sequence72 	 2 	 0.95
>Sequence73 	 2 	 0.91
>Sequence74 	 2 	 0.94
>Sequence75 	 2 	 0.95
>Sequence76 	 2 	 0.93
>Sequence77 	 2 	 0.94
>Sequence78 	 2 	 0.95
>Sequence79 	 2 	 0.86
>Sequence80 	 2 	 0.93
>Sequence81 	 2 	 0.94
>Sequence82 	 2 	 0.94
>Sequence83 	 2 	 0.88
>Sequence84 	 2 	 0.94
>Sequence85 	 2 	 0.94
>Sequence86 	 2 	 0.95
>Sequence87 	 2 	 0.93
>Sequence88 	 2 	 0.93
>Sequence89 	 2 	 0.94
>Sequence90 	 2 	 0.94
>Sequence91 	 2 	 0.88
>Sequence92 	 2 	 0.95
>Sequence93 	 2 	 0.89
>Sequence94 	 2 	 0.93
>Sequence95 	 2 	 0.9
>Sequence96 	 2 	 0.94
>Sequence97 	 2 	 0.91
>Sequence98 	 2 	 0.94
>Sequence99 	 2 	 0.9
>Sequence100 	 3 	 1.0
>Sequence101 	 3 	 1.0
>Sequence102 	 3 	 1.0
>Sequence103 	 3 	 1.0
>Sequence104 	 3 	 1.0
>Sequence105 	 3 	 1.0
>Sequence106 	 3 	 1.0
>Sequence107 	 3 	 1.0
>Sequence108 	 3 	 1.0
>Sequence109 	 3 	 1.0
>Sequence110 	 3 	 1.0
>Sequence111 	 3 	 1.0
>Sequence112 	 3 	 1.0
>Sequence113 	 3 	 1.0
>Sequence114 	 3 	 1.0
>Sequence115 	 3 	 1.0
>Sequence116 	 3 	 1.0
>Sequence117 	 3 	 0.96
>Sequence118 	 3 	 1.0
>Sequence119 	 3 	 1.0
>Sequence120 	 3 	 1.0
>Sequence121 	 3 	 1.0
>Sequence122 	 3 	 1.0
>Sequence123 	 3 	 1.0
>Sequence124 	 3 	 1.0
>Sequence125 	 3 	 0.97
>Sequence126 	 3 	 1.0
>Sequence127 	 3 	 1.0
>Sequence128 	 3 	 1.0
>Sequence129 	 3 	 1.0
>Sequence130 	 3 	 1.0
>Sequence131 	 3 	 1.0
>Sequence132 	 3 	 0.99
